Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp,Salinity
2025-10-11T20:03:17.791719,3.711,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.381,0
2025-10-11T20:03:18.359633,4.279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:19.207231,5.127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:19.734934,5.655,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:20.307786,6.227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:20.836408,6.756,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:21.388692,7.308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.384,0
2025-10-11T20:03:21.954899,7.875,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.384,0
2025-10-11T20:03:31.690290,17.610,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.384,0
2025-10-11T20:03:32.277394,18.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.384,0
2025-10-11T20:03:32.868566,18.788,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:33.439723,19.359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:34.026489,19.946,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:34.596057,20.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:35.299134,21.219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.383,0
2025-10-11T20:03:35.978308,21.898,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:36.414200,22.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:36.978488,22.898,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:37.490626,23.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.382,0
2025-10-11T20:03:38.063601,23.983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.381,0
2025-10-11T20:03:38.986667,24.906,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.381,0
2025-10-11T20:03:39.538268,25.458,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.38,0
2025-10-11T20:03:40.066287,25.986,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.38,0
2025-10-11T20:03:40.577905,26.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.379,0
2025-10-11T20:03:41.098197,27.018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.379,0
2025-10-11T20:03:41.901168,27.821,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.38,0
2025-10-11T20:03:42.423168,28.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.387,0
2025-10-11T20:03:42.961784,28.881,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.404,0
2025-10-11T20:03:43.472270,29.392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.433,0
2025-10-11T20:03:43.992126,29.912,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.602,0
2025-10-11T20:03:44.818693,30.738,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.627,0
2025-10-11T20:03:45.357630,31.277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.798,0
2025-10-11T20:03:45.892738,31.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.825,0
2025-10-11T20:03:46.423683,32.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,24.991,0
2025-10-11T20:03:46.957204,32.877,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.017,0
2025-10-11T20:03:47.813301,33.733,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.181,0
2025-10-11T20:03:48.349692,34.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.209,0
2025-10-11T20:03:48.892166,34.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.385,0
2025-10-11T20:03:49.439467,35.359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.412,0
2025-10-11T20:03:50.042601,35.962,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.595,0
2025-10-11T20:03:50.619677,36.539,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.751,0
2025-10-11T20:03:51.197867,37.118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.776,0
2025-10-11T20:03:52.059321,37.979,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,25.957,0
2025-10-11T20:03:52.609701,38.529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.104,0
2025-10-11T20:03:53.172702,39.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.13,0
2025-10-11T20:03:53.729754,39.649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.302,0
2025-10-11T20:03:54.281637,40.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.327,0
2025-10-11T20:03:54.856379,40.776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.483,0
2025-10-11T20:03:55.420049,41.340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.508,0
2025-10-11T20:03:55.987875,41.908,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.664,0
2025-10-11T20:03:56.550017,42.470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.689,0
2025-10-11T20:03:57.420475,43.340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.84,0
2025-10-11T20:03:58.310859,44.231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,26.862,0
2025-10-11T20:03:58.604786,44.524,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,27.0,0
2025-10-11T20:03:59.172651,45.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,27.019,0
2025-10-11T20:03:59.675968,45.596,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,27.05,0
2025-10-11T20:04:00.181848,46.102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,27.206,0
2025-10-11T20:04:00.683102,46.603,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0,27.221,0
