Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,MPPT_curr_hull_port,MPPT_curr_hull_starbd,MPPT_curr_sail_port,MPPT_curr_sail_starbd,Actual_rdr_deg,Set_rdr_deg,Speed_over_gnd,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir
2025-11-08T01:39:05.726711,4.966,None,None,None,None,None,None,None,None,None,None,None,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:05.735076,4.974,20.1,508.41,20.27,3.23,3.24,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:07.221188,6.460,20.1,508.41,20.27,3.23,3.24,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:07.222218,6.461,20.1,508.41,20.27,3.23,3.24,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:07.224872,6.464,20.1,508.41,20.27,3.23,3.24,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:07.226392,6.465,20.01,508.41,20.25,3.24,3.23,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,None,None
2025-11-08T01:39:07.228046,6.467,20.01,508.41,20.25,3.24,3.23,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.229629,6.469,20.01,508.41,20.25,3.24,3.23,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.231797,6.471,20.01,508.41,20.25,3.24,3.23,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.233358,6.472,19.99,565.38,20.27,3.24,3.23,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.236722,6.476,19.99,565.38,20.27,3.24,3.23,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.239269,6.478,19.99,565.38,20.27,3.24,3.23,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.240912,6.480,19.99,565.38,20.27,3.24,3.23,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.243338,6.482,19.99,565.38,20.27,3.24,3.23,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.248431,6.488,20.03,565.38,20.25,3.22,3.25,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.251338,6.490,20.03,565.38,20.25,3.22,3.25,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.252419,6.491,20.03,565.38,20.25,3.22,3.25,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.253913,6.493,20.03,565.38,20.25,3.22,3.25,3.23,3.26,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.256165,6.495,20.01,575.21,20.25,3.25,3.23,3.22,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.256637,6.496,20.01,575.21,20.25,3.25,3.23,3.22,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.258769,6.498,20.01,575.21,20.25,3.25,3.23,3.22,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.259337,6.498,20.01,575.21,20.25,3.25,3.23,3.22,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.259910,6.499,20.01,571.46,20.25,3.25,3.22,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.260457,6.500,20.01,571.46,20.25,3.25,3.22,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.261809,6.501,20.01,571.46,20.25,3.25,3.22,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.262272,6.501,20.01,571.46,20.25,3.25,3.22,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
2025-11-08T01:39:07.262676,6.502,20.01,571.46,20.25,3.25,3.22,3.23,3.27,0.0,0.0,0.0,0.0,-9.5,-10.31,0.0,0.0,0.0,-10000.0,0.0,180.0,None,0.0,319.0
